번호,기업명,홈페이지,전문분야,회사설립일,지역,주소,대표전화,대표자,담당부서,AI솔루션
1,이마고웍스,https://dentbird.com/,시각지능,2019.11.28,서울특별시,"서울특별시 강남구 강남대로 636, 1층,
2층 (신사동, 두원빌딩)",02-6925-2093,김영준,운영그룹,"▣ 치아 크라운 디자인 자동화 솔루션
- 구강 스캔 데이터 및 preparation 데이터 형상을 기반으로 한 생성형 AI 솔루션
- 인접치, 대합치를 고려하여 최적의 crown 형상 생성
▣ 3D 스캔 데이터 개별 치아 분할 자동화 솔루션
- 3차원 구강 스캔 데이터의 개별 치아 영역을 자동으로 분할하고 boundary curve 추출
- 교정 진단, 치료 계획 수립, 보철물 디자인 등에 활용 가능
▣ CBCT/MDCT 3차원 특징점 추출 자동화 솔루션
- 경조직, 연조직, 치아 해부학적 특징점 65개 자동 인식
- 3D cephalometric analysis 등 3차원 정보를 이용한 치과/성형외과/정형외과 진단 가능
- Dental arch detection, panoramic image 생성 등에 활용 가능
▣ CBCT/MDCT 3차원 환자 모델링 자동화 솔루션
- CT/CBCT 데이터로부터 상악, 하악, 신경관 영역을 자동으로 분할
- 추출한 mask 정보를 기반으로 3차원 모델링
- 치과/성형외과/정형외과 등 진단 및 치료계획에 활용가능
▣ CT/CBCT-스캔 데이터 정렬 자동화 솔루션
- CT/CBCT로부터 구강 영역의 특징점 자동 추출
- 특징점을 기반으로 치아/얼굴 스캔 데이터 간 자동 정렬
- 치과 수술 계획 수립, 보철 디자인 등에 활용 가능"
2,에이비스,www.aivis.kr,시각지능,2021.01.01,서울특별시,"서울시 강남구 테헤란로 238, 8층",02-6378-2021,이대홍,사업기획,"▣ 콴티 IHC(PathoAiDⓇ-Qanti IHC)
- AI를 활용하여 면역조직화학(IHC) 염색 이미지를 정량적으로 분석하는 식약처 허가가 완료된 AI 기반 체외진단 소프트웨어 의료기기
- 유방암 환자에 대한 4종(ER, PR, Her2, Ki-67)의 IHC 염색 디지털 스캔 슬라이드 영상을 인공지능을 통해 분석하여, 병리학자가 관심 영역(Region of Interest, ROI) 을 직
접 지정하면 특정 부위에 대한 세포 염색 강도 및 분포를 정량화하고, 이를 진단 보고서 형태로 제공
▣ PathoAID-Thyroid
- 갑상선암이 림프절로 전이되는 것은 암세포가 갑상선에서 시작하여 림프계를 통해 주변 림프절로 이동하는 과정을 통해 발생
- 갑상선 주변에 많은 림프절이 분포해 있기 때문에, 모든 림프절을 확인할 수 없음
- 갑상선암 조직으로부터 직접 림프절 전이 가능성을 위험수치로 정량화 함
▣ PathoAID-Colon
- 조직병리영상을 활용한 대장암 진단은 크게 암(Cancer)과 비암(Non-Cancer)로 나눌 수 있으며, 암성 병변은 이미 진행된 암이나 전암성 병변으로 구분할 수 있고, 비암성
병변은 정상조직과 염증성 병변으로 나눌 수 있음
- 대장암 조직병리영상의 각 조직 위치에 따른 4종의 병변 타입으로 분류하고, 이를 조직슬라이드 내 표현하는 AI 솔루션
▣ PathoAiDⓇ-Qanti TILs
- 조직병리영상 내 조직 분할 및 객체 검출을 수행하고 이를 병리영상 내 시각화하여 확인 가능한 병리뷰어 솔루션
- 병리 이미지 내 3종의 조직(Tumor/Stroma/Others) 분할 솔루션
- 병리 이미지 내 lymphocytes and plasma cells 검출 솔루션
- 조직 분할 및 lymphocytes and plasma cells 검출 결과를 바탕으로, ROI 영역 내 TiLs 점수 계산 및 시각화 기능 제공
▣ PathoAiDⓇ-Thyroid Dx
*갑상선 결절의 악성 여부 확인 및 악성도 정량화
 - 추출된 갑상선 중심바늘생검 슬라이드 내 갑상선 결절 악성도를 분류하는 솔루션
 - 갑상선 결절 악성도 분류 결과에 대한 주요 위치 히트맵 형태의 XAI 기능 지원
*갑상선암의 경부 림프절 전이 위험도 정량화
 - 추출된 갑상선 중심바늘생검 슬라이드 내 갑상선암 경부 림프절 전이 위험도를 분류하는 솔루션
 - 갑상선암 경부 림프절 전이 위험도 분류 결과에 대한 주요 위치 히트맵 형태의 XAI 기능 지원
▣ PathoAiDⓇ-Colon Dx
- 스캔된 생검조직 슬라이드 내, 종양의 유무를 판별(Tumor / Non-tumor) 하는 솔루션
- 스캔된 생검조직 슬라이드 내 종양이 존재할 경우, 종양조직에 대한 4종의 카테고리를 정밀 분류하는 솔루션(Serrated Lesion, Adenoma, Adenocarcinoma,
Neuroendocrine tumor)
- 종양조직의 4종 카테고리 분류 결과에 대한 세부 진단 주요 위치 히트맵 형태의 XAI 기능 지원"
3,에이테크,www.atech1221.com,"분석지능, 시각지능",2018.08.27,울산광역시,"울산광역시 중구 종가로 655, 307호",052-281-4780,김정완,기술사업화본부,"▣ AI 기반 통합 생산·운영 관리 솔루션 (AT-XENS)
- Edge Device 기반 실시간 수집데이터 및 객체·행동 인식(결함 검출, 공정 누락 등), 예측 분석(KPI, PSI 예측 등) 알고리즘을 통한 스마트 팩토리 솔루션
  Edge Device(비전카메라, IoT 센서, Jetson) 기반 실시간 데이터 자동 수집 및 인퍼런스
▣ AI 프레임워크 및 AI 모델 통합 모듈 솔루션 (AT-AIF)
- AI 모델 구축에 필요한 통합 기능 및 최적 AI 모델을 생성 및 관리하는 AI 프레임워크 솔루션
 1) 다양한 분야 데이터 기반 최적 AI 모델 생성, 관리 위한 AI 프레임워크 솔루션
 2) 신규 및 기등록 AI 모델을 활용한 데이터 맞춤 분석
▣ AI 기반 재난 및 안전 위험 예측·관리 솔루션 (AT-UDS)
- 공공 데이터 활용 AI 기반 재난 예방 및 안전 관리(객체 인식 통한 보행자 보호, 시뮬레이션 예측 기반재난 관제 및 예측, 도로살얼음 사고 예방)
 1) AI 보행자 보호 솔루션
 2) AI UDS 재난관제 및 예측 시스템
 3) AI 도로 살얼음 사고 예방 경고 시스템
▣ AI 빅데이터 기반 스마트시티 예측·분석 솔루션 (AT-BD)
- 대용량 빅데이터 수집 AI 기반 분석 통한 스마트시티 솔루션 (대중교통 분석 및 수요 예측, 대기질 개선 환경 지도, 지역 소셜 네트워크 분석 등)
 1) 대용량 빅데이터 수집 가공 및 AI 분석 서비스"
"번호
3","기업명
에이테크","홈페이지
www.atech1221.com","전문분야
분석지능, 시각지능","회사설립일
2018.08.27","지역
울산광역시","주소
울산광역시 중구 종가로 655, 307호","대표전화
052-281-4780","대표자
김정완","담당부서
기술사업화본부","▣ AI 빅데이터 기반 스마트시티 예측·분석 솔루션 (AT-BD)
AI솔루션
- 대용량 빅데이터 수집 AI 기반 분석 통한 스마트시티 솔루션 (대중교통 분석 및 수요 예측, 대기질 개선 환경 지도, 지역 소셜 네트워크 분석 등)
 1) 대용량 빅데이터 수집 가공 및 AI 분석 서비스"
,,,,,,,,,,"2) 활용서비스(예시)
▣ 대형 언어 모델 (LLM) 기반 내·외부 지식 통합 대화 솔루션 (AT-LLM)
- 다양한 도메인 데이터 및 목적에 따른 커스텀 생성형 AI 기반 지식 통합 대화형 솔루션
 1) 대형 언어 모델(LLM) 기술 기반 다양한 분야 정보 및 사용자 요구정보 실시간 제공
▣ AI 기반 모빌리티 객체/행동 인식 및 최적 경로 도출 솔루션(AT-MB)
- 모빌리티 기술(드론 등) 활용한 데이터 수집, AI 기반 시각 지능을 통합한 솔루션(산불 감시 · 조난자 구조 · 도로표면이상 감지 · AI 범죄 예방 등)
 1) 산불 감시 및 조난자 구조 솔루션
 2) AI 실시간 도로 이상 감지 솔루션
 3) AI 범죄 예방 서비스"
번호,기업명,홈페이지,전문분야,회사설립일,지역,주소,대표전화,대표자,담당부서,AI솔루션
4,코어라인소프트,www.corelinesoft.com,"시각지능, 행동지능 및 기
타",2012.09.17,서울특별시,서울시 마포구 동교로19길 12(서교동),070-7711-6061,김진국,국내사업부,"▣ AVIEW LCS
1. 활용 분야: 폐암 검진 및 진단을 위해 촬영한 흉부 CT에서 폐결절을 자동으로 검출하고 분석하는 도메인에 활용
2. 활용방식: 인공지능 기술을 사용하여 흉부 CT 영상으로부터 4mm이상 30mm이하의 폐 결절을 자동으로 검출
3. 주요 기능
- AI기반 폐결절 자동 검출 및 분석
- 이전 검사 자동 매칭 및 폐결절 볼륨 변화 자동 계산
- 폐암검진 결과 자동 생성 및 환자용 검진 결과지 제공
▣ AVIEW CAC
1. 활용 분야: 인공지능 기술을 기반으로 CT영상으로부터 관상동맥석회화(calcified coronary lesion)를 동반한 관상동맥죽상경화증(coronary atherosclerosis)의 유무를 검출
하여 의료인의 진단결정을 보조하는 도메인에 활용
2. 활용방식: 인공지능 기술을 사용하여 흉부 CT 영상으로부터 석회화 부위를 자동으로 검출하고 석회화 지수(Calcium Scoring)를 자동으로 계산하여 제공
3. 주요 기능
- 기존 Gated CT 영상 뿐만 아니라 일반 흉부CT 영상 활용 가능
- 심장의 관상동맥과 석회 부위 자동 분할
- 분석 결과에 따른 관상동맥석회화 점수(Agaston Score, Volume Socre, Maass Score) 자동 계산
- 분석 결과 자동 생성 및 결과지 제공
▣ AVIEW COPD
1. 활용 분야: 폐 질환인 COPD의 정량적 진단을 위한 인공지능 기반의 전자동 영상분석 솔루션폐의 이상 병변인 기관지 병변, 폐기종, 공기 걸림 등을 인공지능을 이용하
여 자동으로 분석하는 도메인에서 활용
2. 활용방식: 인공지능 기술을 사용하여 흉부 CT 영상으로부터 폐의 이상 병변인 기관지 병변, 폐기종, 공기 걸림 등을 인공지능을 이용하여 자동으로 분석하여 진단 보조
및 다양한 연구에 활용
3. 주요 기능
- LAA, Emphysema Index, Air-Trapping Index 자동 산출
- 기관지 벽 두께 자동 측정 및 축소 여부 자동 산출
- 폐혈관 자동 분할 및 전체 폐에서 분포 여부 자동 계산
- 관련된 다양한 정량적 결과 및 자동 결과지 제공
▣ AVIEW LungTexture
1. 활용 분야: 흉부 CT에서 간질성폐질환의 패턴을 분석하기 위해 폐의 실질 영역의 질감 분석을 통해 병증 영역을 자동 검출 분할하고 패턴을 분석하는 도메인에 활용
2. 활용방식: 흉부 CT에서 폐실질의 영상적 질감이 전형적으로 나타나는 병증 부위를 5가지(정상 실질 포함시 6가지)로 분류 및 분할하고, 폐엽별로 각 질감의 부피비를 분
석하는 인공지능 솔루션 엔진
3. 주요 기능
- AI기반 폐질감 자동 검출 및 정상 포함 6가지 패턴으로 분류
- 폐엽별 6가지 패턴의 부피비 자동 계산
- 결과 3D 가시화 및 자동 생성 결과지 제공
▣ AVIEW SmartSlicer
1. 활용 분야: 3D프린팅 등 CT영상을 활용하는 모든 의료 분야에서 보다 조밀한 Slice thickness를 갖는 DICOM 영상이 필요한 분야
2. 활용방식: Slice thickness가 2mm 이상인 데이터를 활용하여 2배 ~ 5배 더 얇은 thickness를 갖는 새로운 DICOM 파일로 생성하여 진단 및 3D프린팅에 필요한 좀 더 정
밀한 3D모델링에 활용
3. 주요 기능
- 입력 CT 데이터별로 세팅을 통해 데이터 자동 변환
- 변환된 데이터는 동일 환자의 Study에 새로운 Series로 변환
▣ AVIEW LungCAD
1. 활용 분야
- 인공지능 기술을 사용하여 흉부 CT 영상으로부터 폐 결절 및 종괴를 자동으로 검출하여 진단을 보조하는 도메인에 활용
2. 활용 방식
- 인공지능 기술을 사용하여 흉부 CT 영상으로부터 폐 결절 및 종괴를 자동으로 검출
3. 주요기능
- 자동 폐 결절 및 종괴 검출 및 분할 기능
- 폐 결절 및 종괴 측정 기능
- Lung-RADS 결절 및 종괴 범주 자동 표시 기능
- 리포트 자동 생성 기능
- 추적(Follow-up) 모드
- 이전 검사 자동 매칭 및 폐결절 볼륨 변화 자동 계산
▣ AVIEW RTACS
1. 활용 분야: 방사선 종양 치료 등 CT영상에서 장기의 3D모델을 만들어 진단 및 치료계획 수립 등에 활용하는 도메인에 활용
2. 활용방식: 인공지능 기술을 사용하여 CT 영상으로부터 인체내 주요 장기들을 자동으로 분할하여 결과를 활용
3. 주요 기능
- CT영상에서 Breast, Abdomen, Pelvic, Head&Neck 등 신체 영역별로 자동으로 구분하여 영역별 필요 장기 구분
▣ AVIEW BAS
1. 활용 분야: 두경부 CT영상을 촬영하여 혈관의 상태를 진단하고 해당 영상을 활용하여 수술 등에 활용하고자 하는 도메인
2. 활용방식:
- 인공지능 기술을 사용하여 환자의 조영 전의 CT영상과 조영 후의 CT영상을 자동 매칭하여, 혈관만 남기고 두경부 골 영역 자동 제거
- 조영후 CT영상에서 골 영역 제거(인공 지능 영역)
3. 주요기능
- 조영 전후의 환자 움직임을 자동으로 보정하여 우수한 화질의 뇌내혈관 영상을 제공
- 인공지능 기술을 사용하여 민감한 영역을 구분, 자동으로 파라메터 결정
- 3차원 뇌내 혈관 영상을 자동으로 생성하여 PACS로 자동 전송
oring)를 자동으로 계산하여 제공
3. 주요 기능
- 기존 Gated CT 영상 뿐만 아니라 일반 흉부CT 영상 활용 가능
- 심장의 관상동맥과 석회 부위 자동 분할
- 분석 결과에 따른 관상동맥석회화 점수(Agaston Score, Volume Socre, Maass Score) 자동 계산
- 분석 결과 자동 생성 및 결과지 제공
▣ AVIEW COPD
1. 활용 분야: 폐 질환인 COPD의 정량적 진단을 위한 인공지능 기반의 전자동 영상분석 솔루션폐의 이상 병변인 기관지 병변, 폐기종, 공기 걸림 등을 인공지능을 이용하
여 자동으로 분석하는 도메인에서 활용
2. 활용방식: 인공지능 기술을 사용하여 흉부 CT 영상으로부터 폐의 이상 병변인 기관지 병변, 폐기종, 공기 걸림 등을 인공지능을 이용하여 자동으로 분석하여 진단 보조
및 다양한 연구에 활용
3. 주요 기능
- LAA, Emphysema Index, Air-Trapping Index 자동 산출"
번호,기업명,홈페이지,전문분야,회사설립일,지역,주소,대표전화,대표자,담당부서,"및 다양한 연구에 활용
3. 주요 기능
AI솔루션
- LAA, Emphysema Index, Air-Trapping Index 자동 산출"
,,,,,,,,,,"- 기관지 벽 두께 자동 측정 및 축소 여부 자동 산출
- 폐혈관 자동 분할 및 전체 폐에서 분포 여부 자동 계산
- 관련된 다양한 정량적 결과 및 자동 결과지 제공
▣ AVIEW PE
1. 활용 분야: 인공지능 기술을 사용하여 흉부 조영 CT 영상으로부터 폐색전을 자동으로 검출하여 진단을 보조하는 도메인에 활용
2. 활용방식: 인공지능 기술을 사용하여 흉부 조영 CT 영상으로부터 폐색전을 자동으로 검출
3. 주요기능
    - 자동 폐색전 검출 및 분할 기능
    - 폐색전 측정 기능
    - 폐동맥과 검출된 색전에 대한 3차원 랜더링 영상 표시 기능
    - 리포트 자동 생성 기능
▣ AVIEW Aorta
1. 활용 분야: 인공지능 기술을 사용하여 대동맥 조영 CT영상으로부터 대동맥 박리를 자동 식별하여 진단을 보조하는 도메인에 활용
2. 활용방식: 인공지능 기술을 사용하여 대동맥 조영 CT 영상으로부터 대동맥 박리를 자동으로 식별
3. 주요기능
    - 대동맥 박리 식별 기능
    - 진성 내강 및 가성내강 분할 기능
    - 대동맥 직경 측정 기능
    - 추적(Follow-up) 모드
    - 이전 검사 자동 매칭 및 연 성장율 자동 계산
▣ AVIEW SpineBH
1. 활용 분야: 인공지능 기술을 사용하여 척추 또는 복부 CT 영상으로부터 척추뼈 자동 식별 및 레벨 판단하는데 활용
2. 활용방식:
    - 인공지능 기술을 사용하여 척추 또는 복부 CT 영상으로부터 척추뼈 자동 식별 및 레벨을 판단
    - 척추뼈 몸통 영역에서 골밀도 평가에 적합한 ROI를 자동 선택
    - 척추뼈 몸통의 높이를 자동으로 측정
3. 주요기능"
